,,,,,,,,,,,,,,,,,,
AVG ALL,,,,,,,,,,,,,,,,,,
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,62,1,1,0,0,0,0,0,3,0,0,0,0,0,0.8,0,0.2,0
I-DRV,0.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0.6,0,9.6,0,0.8,0,0,0,0.4,0,0,0,0.6,0,0,0,0.6,0
I-EVT,0,0,0,1.6,0.8,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4
B-GPE_LOC,0,0.4,0,0,400,0.8,8,0,11.8,0,0,0,2,0.4,0,0,1.4,1.4
I-GPE_LOC,0,0,0,0,0,73.8,0,1.6,0,1.6,0,0,0,0,0,0,0,0
B-GPE_ORG,0.8,0,0,0,20.6,0,39.2,0,0,0,0,0,0.4,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0.2,0,0,0,11.8,0,0,0,146,0,0,0,4.8,0.2,7.4,0,0,0
I-LOC,0,0,0,0,0,0.4,0,0,2,63.2,0,0,0,2.8,1,11.8,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,1.8,0,1.4,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
B-ORG,1.6,0,1,0,1,0,1.6,0,12.6,0,0,0,428.6,1.4,15.6,0,14.8,0
I-ORG,0,0,0,0.8,5.6,0,0,0,0.2,6.2,0,0,6,179.2,0.8,5.4,0,7.2
B-PER,0.4,0,0,0,1,0,1,0,2.4,0,0,0,8.8,0,931.2,1.2,2.8,0
I-PER,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,6,501.4,0,0.2
B-PROD,0.8,0,0,0,0.2,0,0.8,0,2.8,0,0,0,10.8,0,8.2,0,79.4,0.2
I-PROD,0,0,0,0,2,0,0,0,5,0,0,0,0,4,1,3.6,2.6,60.8
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BINARY,,,,,,,,,,,,,,,,,,
AVG all,,,,,,,,,,,,,,,,,,
,0,1,,,,,,,,,,,,,,,,
0,51110.6,160.4,,,,,,,,,,,,,,,,
1,217.4,3250.6,,,,,,,,,,,,,,,,
